x-axis		y-axis of best value	y-axis of average value

0		233.953018		50278.253906
13		227.851608		10273.599609
15		223.530914		10254.976562
16		212.061417		250.309387
17		210.949600		10239.712891
18		195.580994		234.134216
19		194.708908		228.755035
20		189.339005		10222.755859
21		184.170807		560218.750000
23		183.110596		10209.627930
24		179.255005		205.492737
27		170.082001		10189.975586
28		170.005188		186.417496
29		169.607697		183.750275
30		168.803391		10180.225586
31		163.836700		280177.156250
33		159.062500		10174.841797
34		157.991196		10172.302734
35		157.947388		10171.000977
36		157.442398		169.538696
39		157.184906		164.701843
41		157.036697		340167.156250
43		156.827789		10157.724609
106		156.685791		30157.980469
107		156.649994		30157.699219
118		156.514191		20156.933594
207		156.504196		460166.968750
295		156.453186		440162.718750
352		156.449005		340162.718750
362		155.348999		150159.781250
450		155.203003		490162.093750
453		154.968796		40156.132812
454		154.494202		20155.226562
468		154.454193		20154.720703
538		153.503998		140158.890625
634		153.311493		440161.593750
661		95.392784		330157.875000
