x-max		y-max

100000		15000420.000000


x-axis		y-axis of best value	y-axis of average value

0		15000420.000000		21000482.000000
1		12000442.000000		18380450.000000
2		12000409.000000		16850456.000000
3		11000454.000000		16840446.000000
4		11000430.000000		16410464.000000
241		10000455.000000		13820451.000000
242		9000440.000000		13320460.000000
243		9000420.000000		12910456.000000
2815		7000469.000000		11050441.000000
2816		6000477.500000		10230452.000000
2817		5000474.000000		9670458.000000
2818		5000452.000000		9100454.000000
5515		4000416.250000		7010445.500000
5516		4000412.000000		6720429.000000
5517		4000390.250000		6480429.000000
5518		3000404.750000		6450420.000000
8262		3000379.000000		4650419.000000
8263		3000377.500000		4650406.500000
8264		3000368.500000		4650405.000000
11086		3000366.500000		4080387.000000
11087		3000355.500000		3960386.250000
14023		3000352.750000		3760369.250000
14024		3000350.750000		3670368.000000
14025		3000342.750000		3670366.000000
17140		2000368.375000		3610361.500000
17141		2000358.750000		3030365.750000
17142		2000357.625000		2920360.000000
17143		2000349.625000		2920358.500000
40512		2000348.625000		2190352.750000
40513		2000335.625000		2150353.500000
50869		2000335.125000		2260340.750000
